Category,Domain,Chapter title,Chapter slug,Lecture number,Lecture ID,Lecture title,YouTube URL,Video ID,Output name,Lecture folder,Raw comments path,Scrubbed comments path,Sift report path,Processing mode,Status,Notes
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,01,some-basic-concepts-chemistry-lecture-01,Laws of Chemical Combination,https://youtu.be/Qy0Q_AYs63Y,Qy0Q_AYs63Y,comments-01-laws-of-chemical-combination,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-01-laws-of-chemical-combination,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-01-laws-of-chemical-combination/comments/comments-01-laws-of-chemical-combination.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-01-laws-of-chemical-combination/comments/comments-01-laws-of-chemical-combination.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-01-laws-of-chemical-combination/comments/comments-01-laws-of-chemical-combination.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,02,some-basic-concepts-chemistry-lecture-02,Concentration terms: Mole Fraction,https://youtu.be/3vwSPlDrgtU,3vwSPlDrgtU,comments-02-concentration-terms-mole-fraction,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-02-concentration-terms-mole-fraction,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-02-concentration-terms-mole-fraction/comments/comments-02-concentration-terms-mole-fraction.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-02-concentration-terms-mole-fraction/comments/comments-02-concentration-terms-mole-fraction.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-02-concentration-terms-mole-fraction/comments/comments-02-concentration-terms-mole-fraction.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,03,some-basic-concepts-chemistry-lecture-03,"Mole Concept, Stoichiometry, Percentage Composition",https://youtu.be/omuhMcN9z-M,omuhMcN9z-M,comments-03-mole-concept-stoichiometry-percentage-composition,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-03-mole-concept-stoichiometry-percentage-composition,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-03-mole-concept-stoichiometry-percentage-composition/comments/comments-03-mole-concept-stoichiometry-percentage-composition.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-03-mole-concept-stoichiometry-percentage-composition/comments/comments-03-mole-concept-stoichiometry-percentage-composition.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-03-mole-concept-stoichiometry-percentage-composition/comments/comments-03-mole-concept-stoichiometry-percentage-composition.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,04,some-basic-concepts-chemistry-lecture-04,Molarity and Molality,https://youtu.be/xv908em4LtY,xv908em4LtY,comments-04-molarity-and-molality,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-04-molarity-and-molality,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-04-molarity-and-molality/comments/comments-04-molarity-and-molality.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-04-molarity-and-molality/comments/comments-04-molarity-and-molality.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-04-molarity-and-molality/comments/comments-04-molarity-and-molality.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,05,some-basic-concepts-chemistry-lecture-05,Equivalent Weight and Gram Equivalent part 1,https://youtu.be/OfXYPCM0zHg,OfXYPCM0zHg,comments-05-equivalent-weight-and-gram-equivalent-part-1,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-05-equivalent-weight-and-gram-equivalent-part-1,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-05-equivalent-weight-and-gram-equivalent-part-1/comments/comments-05-equivalent-weight-and-gram-equivalent-part-1.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-05-equivalent-weight-and-gram-equivalent-part-1/comments/comments-05-equivalent-weight-and-gram-equivalent-part-1.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-05-equivalent-weight-and-gram-equivalent-part-1/comments/comments-05-equivalent-weight-and-gram-equivalent-part-1.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Some Basic Concepts in Chemistry,some-basic-concepts-chemistry,06,some-basic-concepts-chemistry-lecture-06,Normality,https://youtu.be/43o9FK_9BTQ,43o9FK_9BTQ,comments-06-normality,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-06-normality,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-06-normality/comments/comments-06-normality.raw.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-06-normality/comments/comments-06-normality.scrubbed.json,content/chemistry/physical/some-basic-concepts-chemistry/lectures/lecture-06-normality/comments/comments-06-normality.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Atomic Structure,atomic-structure,01,atomic-structure-lecture-01,Cathode Ray || Rutherford Alpha particle scattering experiment,https://youtu.be/Oj-vA63nsBI,Oj-vA63nsBI,comments-01-cathode-ray-rutherford-alpha-particle-scattering-experiment,content/chemistry/physical/atomic-structure/lectures/lecture-01-cathode-ray-rutherford-alpha-particle-scattering-experiment,content/chemistry/physical/atomic-structure/lectures/lecture-01-cathode-ray-rutherford-alpha-particle-scattering-experiment/comments/comments-01-cathode-ray-rutherford-alpha-particle-scattering-experiment.raw.json,content/chemistry/physical/atomic-structure/lectures/lecture-01-cathode-ray-rutherford-alpha-particle-scattering-experiment/comments/comments-01-cathode-ray-rutherford-alpha-particle-scattering-experiment.scrubbed.json,content/chemistry/physical/atomic-structure/lectures/lecture-01-cathode-ray-rutherford-alpha-particle-scattering-experiment/comments/comments-01-cathode-ray-rutherford-alpha-particle-scattering-experiment.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Atomic Structure,atomic-structure,02,atomic-structure-lecture-02,Bohr’s Atomic Model,https://youtu.be/w1gxYuOihJ4,w1gxYuOihJ4,comments-02-bohrs-atomic-model,content/chemistry/physical/atomic-structure/lectures/lecture-02-bohrs-atomic-model,content/chemistry/physical/atomic-structure/lectures/lecture-02-bohrs-atomic-model/comments/comments-02-bohrs-atomic-model.raw.json,content/chemistry/physical/atomic-structure/lectures/lecture-02-bohrs-atomic-model/comments/comments-02-bohrs-atomic-model.scrubbed.json,content/chemistry/physical/atomic-structure/lectures/lecture-02-bohrs-atomic-model/comments/comments-02-bohrs-atomic-model.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Atomic Structure,atomic-structure,03,atomic-structure-lecture-03,Atomic Spectrum || Hydrogen Spectrum,https://youtu.be/nRmfrVR4uC8,nRmfrVR4uC8,comments-03-atomic-spectrum-hydrogen-spectrum,content/chemistry/physical/atomic-structure/lectures/lecture-03-atomic-spectrum-hydrogen-spectrum,content/chemistry/physical/atomic-structure/lectures/lecture-03-atomic-spectrum-hydrogen-spectrum/comments/comments-03-atomic-spectrum-hydrogen-spectrum.raw.json,content/chemistry/physical/atomic-structure/lectures/lecture-03-atomic-spectrum-hydrogen-spectrum/comments/comments-03-atomic-spectrum-hydrogen-spectrum.scrubbed.json,content/chemistry/physical/atomic-structure/lectures/lecture-03-atomic-spectrum-hydrogen-spectrum/comments/comments-03-atomic-spectrum-hydrogen-spectrum.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
Physical Chemistry,physical,Atomic Structure,atomic-structure,04,atomic-structure-lecture-04,De Broglie Wavelength || Heisenberg’s Uncertainty Principle,https://youtu.be/YqUSyPUFVVY,YqUSyPUFVVY,comments-04-de-broglie-wavelength-heisenbergs-uncertainty-principle,content/chemistry/physical/atomic-structure/lectures/lecture-04-de-broglie-wavelength-heisenbergs-uncertainty-principle,content/chemistry/physical/atomic-structure/lectures/lecture-04-de-broglie-wavelength-heisenbergs-uncertainty-principle/comments/comments-04-de-broglie-wavelength-heisenbergs-uncertainty-principle.raw.json,content/chemistry/physical/atomic-structure/lectures/lecture-04-de-broglie-wavelength-heisenbergs-uncertainty-principle/comments/comments-04-de-broglie-wavelength-heisenbergs-uncertainty-principle.scrubbed.json,content/chemistry/physical/atomic-structure/lectures/lecture-04-de-broglie-wavelength-heisenbergs-uncertainty-principle/comments/comments-04-de-broglie-wavelength-heisenbergs-uncertainty-principle.final.md,raw-to-scrubbed,pending,Single lecture video from chapter list.
